"tab_inv_item.col_quantity","tab_inv_item.col_total","tab_inv.col_total","tab_inv.col_name","tab_inv.dt_invoice","tab_pers.col_bn","tab_pers.col_fn","tab_pers.col_sn","tab_pers.col_hn"
8,14,5,inv-0000000000000000000000000039,2018-11-14,3,"Sawyer","Morehead","Sawyer Morehead"
1,11,39,inv-0000000000000000000000000040,2019-11-06,6,"Morton","Trescott","Morton Trescott"
6,27,17,inv-0000000000000000000000000041,2017-06-21,14,"Rudolph","Falls","Rudolph Falls"
2,10,13,inv-0000000000000000000000000042,2016-05-02,7,"Windell","Minot","Windell Minot"
1,2,13,inv-0000000000000000000000000043,2016-02-17,12,"Kavon","Burget","Kavon Burget"
7,9,20,inv-0000000000000000000000000044,2016-02-19,12,"Kavon","Burget","Kavon Burget"
10,20,11,inv-0000000000000000000000000045,2019-01-16,3,"Sawyer","Morehead","Sawyer Morehead"
7,5,3,inv-0000000000000000000000000046,2016-09-07,7,"Windell","Minot","Windell Minot"
9,14,5,inv-0000000000000000000000000047,2016-06-23,4,"Kavon","Shearman","Kavon Shearman"
3,16,45,inv-0000000000000000000000000048,2019-01-30,8,"Rylan","Channel","Rylan Channel"
8,8,2,inv-0000000000000000000000000049,2017-09-06,4,"Kavon","Shearman","Kavon Shearman"
10,2,17,inv-0000000000000000000000000050,2016-06-02,13,"Iverson","Crossnoe","Iverson Crossnoe"
2,24,2,inv-0000000000000000000000000051,2018-03-28,5,"Tanner","Weston","Tanner Weston"
10,7,21,inv-0000000000000000000000000052,2019-02-15,9,"Tabor","West","Tabor West"
10,14,8,inv-0000000000000000000000000053,2018-07-23,5,"Tanner","Weston","Tanner Weston"
1,12,13,inv-0000000000000000000000000054,2017-03-03,13,"Iverson","Crossnoe","Iverson Crossnoe"
3,16,45,inv-0000000000000000000000000055,2017-08-17,11,"Sedona","Strauss","Sedona Strauss"
8,15,16,inv-0000000000000000000000000056,2018-05-09,9,"Tabor","West","Tabor West"
1,12,16,inv-0000000000000000000000000057,2017-11-08,4,"Kavon","Shearman","Kavon Shearman"
3,26,25,inv-0000000000000000000000000058,2018-11-12,9,"Tabor","West","Tabor West"
8,21,13,inv-0000000000000000000000000059,2019-09-04,0,"Wilburn","Merriman","Wilburn Merriman"
8,15,31,inv-0000000000000000000000000060,2019-07-24,4,"Kavon","Shearman","Kavon Shearman"
10,2,28,inv-0000000000000000000000000061,2019-08-30,8,"Rylan","Channel","Rylan Channel"
3,15,13,inv-0000000000000000000000000062,2017-05-25,6,"Morton","Trescott","Morton Trescott"
9,18,9,inv-0000000000000000000000000063,2019-01-30,13,"Iverson","Crossnoe","Iverson Crossnoe"
8,27,7,inv-0000000000000000000000000064,2019-07-09,14,"Rudolph","Falls","Rudolph Falls"
5,21,6,inv-0000000000000000000000000065,2019-08-21,2,"Verlin","Toney","Verlin Toney"
3,19,46,inv-0000000000000000000000000066,2019-04-17,11,"Sedona","Strauss","Sedona Strauss"
1,26,18,inv-0000000000000000000000000067,2016-08-01,3,"Sawyer","Morehead","Sawyer Morehead"
7,21,11,inv-0000000000000000000000000068,2016-11-24,14,"Rudolph","Falls","Rudolph Falls"
8,14,6,inv-0000000000000000000000000069,2016-09-01,13,"Iverson","Crossnoe","Iverson Crossnoe"
9,21,32,inv-0000000000000000000000000070,2019-01-29,3,"Sawyer","Morehead","Sawyer Morehead"
9,15,17,inv-0000000000000000000000000071,2016-05-26,1,"Carter","Romine","Carter Romine"
7,10,35,inv-0000000000000000000000000072,2016-02-08,4,"Kavon","Shearman","Kavon Shearman"
8,27,49,inv-0000000000000000000000000073,2018-12-14,8,"Rylan","Channel","Rylan Channel"
6,18,18,inv-0000000000000000000000000074,2016-05-23,5,"Tanner","Weston","Tanner Weston"
2,19,44,inv-0000000000000000000000000075,2016-09-22,8,"Rylan","Channel","Rylan Channel"
8,14,27,inv-0000000000000000000000000076,2019-09-11,6,"Morton","Trescott","Morton Trescott"
7,11,46,inv-0000000000000000000000000077,2016-08-11,12,"Kavon","Burget","Kavon Burget"
1,8,30,inv-0000000000000000000000000078,2017-07-13,12,"Kavon","Burget","Kavon Burget"
7,21,39,inv-0000000000000000000000000079,2019-06-14,14,"Rudolph","Falls","Rudolph Falls"
4,4,37,inv-0000000000000000000000000080,2019-02-13,7,"Windell","Minot","Windell Minot"
5,27,4,inv-0000000000000000000000000081,2019-05-22,6,"Morton","Trescott","Morton Trescott"
2,27,4,inv-0000000000000000000000000082,2019-11-26,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
2,3,15,inv-0000000000000000000000000083,2017-03-23,13,"Iverson","Crossnoe","Iverson Crossnoe"
5,1,24,inv-0000000000000000000000000084,2016-09-09,13,"Iverson","Crossnoe","Iverson Crossnoe"
9,17,29,inv-0000000000000000000000000085,2017-06-20,4,"Kavon","Shearman","Kavon Shearman"
9,5,44,inv-0000000000000000000000000086,2019-03-19,8,"Rylan","Channel","Rylan Channel"
6,11,2,inv-0000000000000000000000000087,2017-02-14,0,"Wilburn","Merriman","Wilburn Merriman"
5,28,14,inv-0000000000000000000000000088,2016-11-18,5,"Tanner","Weston","Tanner Weston"
5,19,44,inv-0000000000000000000000000089,2018-01-01,14,"Rudolph","Falls","Rudolph Falls"
3,21,31,inv-0000000000000000000000000090,2019-12-10,9,"Tabor","West","Tabor West"
9,25,4,inv-0000000000000000000000000091,2018-09-17,2,"Verlin","Toney","Verlin Toney"
3,3,7,inv-0000000000000000000000000092,2016-10-28,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
8,30,45,inv-0000000000000000000000000093,2016-04-07,5,"Tanner","Weston","Tanner Weston"
10,18,48,inv-0000000000000000000000000094,2017-09-06,5,"Tanner","Weston","Tanner Weston"
8,7,17,inv-0000000000000000000000000095,2017-01-19,13,"Iverson","Crossnoe","Iverson Crossnoe"
6,26,24,inv-0000000000000000000000000096,2016-07-20,1,"Carter","Romine","Carter Romine"
10,22,31,inv-0000000000000000000000000097,2017-02-15,4,"Kavon","Shearman","Kavon Shearman"
2,6,48,inv-0000000000000000000000000098,2019-09-26,13,"Iverson","Crossnoe","Iverson Crossnoe"
3,20,2,inv-0000000000000000000000000099,2018-10-22,6,"Morton","Trescott","Morton Trescott"
4,21,20,inv-0000000000000000000000000100,2018-10-29,9,"Tabor","West","Tabor West"
5,17,16,inv-0000000000000000000000000101,2018-11-16,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
1,8,25,inv-0000000000000000000000000102,2019-03-15,1,"Carter","Romine","Carter Romine"
4,10,45,inv-0000000000000000000000000103,2018-12-03,2,"Verlin","Toney","Verlin Toney"
5,16,9,inv-0000000000000000000000000104,2017-08-10,3,"Sawyer","Morehead","Sawyer Morehead"
9,11,4,inv-0000000000000000000000000105,2016-12-14,13,"Iverson","Crossnoe","Iverson Crossnoe"
7,22,40,inv-0000000000000000000000000106,2017-07-28,3,"Sawyer","Morehead","Sawyer Morehead"
7,24,5,inv-0000000000000000000000000107,2018-12-12,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
5,6,37,inv-0000000000000000000000000108,2016-05-02,14,"Rudolph","Falls","Rudolph Falls"
2,8,27,inv-0000000000000000000000000109,2019-10-01,0,"Wilburn","Merriman","Wilburn Merriman"
8,8,6,inv-0000000000000000000000000110,2018-03-28,0,"Wilburn","Merriman","Wilburn Merriman"
2,3,35,inv-0000000000000000000000000111,2018-08-20,7,"Windell","Minot","Windell Minot"
5,2,16,inv-0000000000000000000000000112,2018-05-01,2,"Verlin","Toney","Verlin Toney"
1,26,3,inv-0000000000000000000000000113,2017-11-21,13,"Iverson","Crossnoe","Iverson Crossnoe"
8,11,42,inv-0000000000000000000000000114,2016-05-19,4,"Kavon","Shearman","Kavon Shearman"
2,4,47,inv-0000000000000000000000000115,2019-11-12,0,"Wilburn","Merriman","Wilburn Merriman"
7,19,45,inv-0000000000000000000000000116,2019-04-04,12,"Kavon","Burget","Kavon Burget"
6,28,29,inv-0000000000000000000000000117,2018-12-31,2,"Verlin","Toney","Verlin Toney"
2,9,2,inv-0000000000000000000000000118,2017-02-02,1,"Carter","Romine","Carter Romine"
7,4,47,inv-0000000000000000000000000119,2016-08-05,11,"Sedona","Strauss","Sedona Strauss"
8,3,49,inv-0000000000000000000000000120,2017-05-19,6,"Morton","Trescott","Morton Trescott"
8,27,47,inv-0000000000000000000000000121,2018-03-29,11,"Sedona","Strauss","Sedona Strauss"
2,15,46,inv-0000000000000000000000000122,2018-07-12,12,"Kavon","Burget","Kavon Burget"
6,23,2,inv-0000000000000000000000000123,2019-06-03,6,"Morton","Trescott","Morton Trescott"
1,14,6,inv-0000000000000000000000000124,2017-06-21,13,"Iverson","Crossnoe","Iverson Crossnoe"
7,26,37,inv-0000000000000000000000000125,2016-12-20,7,"Windell","Minot","Windell Minot"
5,5,13,inv-0000000000000000000000000126,2018-11-12,0,"Wilburn","Merriman","Wilburn Merriman"
2,28,43,inv-0000000000000000000000000127,2017-07-28,7,"Windell","Minot","Windell Minot"
10,28,15,inv-0000000000000000000000000128,2019-12-16,8,"Rylan","Channel","Rylan Channel"
3,19,10,inv-0000000000000000000000000129,2017-10-19,2,"Verlin","Toney","Verlin Toney"
2,23,5,inv-0000000000000000000000000130,2017-05-30,5,"Tanner","Weston","Tanner Weston"
8,26,1,inv-0000000000000000000000000131,2016-01-05,5,"Tanner","Weston","Tanner Weston"
10,6,3,inv-0000000000000000000000000132,2019-07-31,3,"Sawyer","Morehead","Sawyer Morehead"
2,13,17,inv-0000000000000000000000000133,2018-12-04,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
4,14,30,inv-0000000000000000000000000134,2019-05-06,6,"Morton","Trescott","Morton Trescott"
6,20,5,inv-0000000000000000000000000135,2019-05-22,1,"Carter","Romine","Carter Romine"
7,18,39,inv-0000000000000000000000000136,2017-06-14,5,"Tanner","Weston","Tanner Weston"
4,20,36,inv-0000000000000000000000000137,2018-01-12,14,"Rudolph","Falls","Rudolph Falls"
10,3,23,inv-0000000000000000000000000138,2018-03-28,1,"Carter","Romine","Carter Romine"
4,21,31,inv-0000000000000000000000000139,2016-12-21,1,"Carter","Romine","Carter Romine"
4,11,17,inv-0000000000000000000000000140,2016-01-29,9,"Tabor","West","Tabor West"
10,15,9,inv-0000000000000000000000000141,2017-01-24,11,"Sedona","Strauss","Sedona Strauss"
9,1,26,inv-0000000000000000000000000142,2017-11-02,14,"Rudolph","Falls","Rudolph Falls"
4,7,28,inv-0000000000000000000000000143,2018-06-21,6,"Morton","Trescott","Morton Trescott"
6,20,4,inv-0000000000000000000000000144,2019-12-17,2,"Verlin","Toney","Verlin Toney"
5,20,37,inv-0000000000000000000000000145,2019-10-04,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
1,11,17,inv-0000000000000000000000000146,2017-06-22,12,"Kavon","Burget","Kavon Burget"
3,10,18,inv-0000000000000000000000000147,2018-06-22,11,"Sedona","Strauss","Sedona Strauss"
5,2,43,inv-0000000000000000000000000148,2017-02-08,1,"Carter","Romine","Carter Romine"
4,14,50,inv-0000000000000000000000000149,2016-03-07,8,"Rylan","Channel","Rylan Channel"
6,27,18,inv-0000000000000000000000000150,2018-07-02,2,"Verlin","Toney","Verlin Toney"
8,14,34,inv-0000000000000000000000000151,2016-02-11,12,"Kavon","Burget","Kavon Burget"
8,25,47,inv-0000000000000000000000000152,2016-06-29,2,"Verlin","Toney","Verlin Toney"
10,27,16,inv-0000000000000000000000000153,2016-11-04,14,"Rudolph","Falls","Rudolph Falls"
4,14,37,inv-0000000000000000000000000154,2017-09-11,14,"Rudolph","Falls","Rudolph Falls"
8,28,24,inv-0000000000000000000000000155,2017-04-25,3,"Sawyer","Morehead","Sawyer Morehead"
5,18,2,inv-0000000000000000000000000156,2016-07-29,2,"Verlin","Toney","Verlin Toney"
1,16,45,inv-0000000000000000000000000157,2017-07-26,9,"Tabor","West","Tabor West"
2,15,45,inv-0000000000000000000000000158,2017-08-11,14,"Rudolph","Falls","Rudolph Falls"
6,26,26,inv-0000000000000000000000000159,2019-12-13,8,"Rylan","Channel","Rylan Channel"
2,7,33,inv-0000000000000000000000000160,2018-11-12,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
4,5,41,inv-0000000000000000000000000161,2016-03-01,3,"Sawyer","Morehead","Sawyer Morehead"
9,12,12,inv-0000000000000000000000000162,2019-01-28,6,"Morton","Trescott","Morton Trescott"
4,11,30,inv-0000000000000000000000000163,2018-06-20,11,"Sedona","Strauss","Sedona Strauss"
5,30,4,inv-0000000000000000000000000164,2017-06-21,4,"Kavon","Shearman","Kavon Shearman"
2,22,45,inv-0000000000000000000000000165,2018-07-24,13,"Iverson","Crossnoe","Iverson Crossnoe"
10,13,44,inv-0000000000000000000000000166,2016-02-19,9,"Tabor","West","Tabor West"
1,21,24,inv-0000000000000000000000000167,2019-05-03,7,"Windell","Minot","Windell Minot"
3,2,20,inv-0000000000000000000000000168,2019-04-17,1,"Carter","Romine","Carter Romine"
10,23,4,inv-0000000000000000000000000169,2019-10-17,4,"Kavon","Shearman","Kavon Shearman"
3,6,7,inv-0000000000000000000000000170,2017-10-30,11,"Sedona","Strauss","Sedona Strauss"
5,8,2,inv-0000000000000000000000000171,2018-03-21,11,"Sedona","Strauss","Sedona Strauss"
10,1,3,inv-0000000000000000000000000172,2018-05-24,14,"Rudolph","Falls","Rudolph Falls"
4,23,7,inv-0000000000000000000000000173,2019-02-04,0,"Wilburn","Merriman","Wilburn Merriman"
10,11,24,inv-0000000000000000000000000174,2017-04-12,5,"Tanner","Weston","Tanner Weston"
5,10,1,inv-0000000000000000000000000175,2018-04-19,13,"Iverson","Crossnoe","Iverson Crossnoe"
10,2,4,inv-0000000000000000000000000176,2017-09-20,5,"Tanner","Weston","Tanner Weston"
1,16,37,inv-0000000000000000000000000177,2017-06-07,12,"Kavon","Burget","Kavon Burget"
1,24,6,inv-0000000000000000000000000178,2019-08-06,13,"Iverson","Crossnoe","Iverson Crossnoe"
9,15,22,inv-0000000000000000000000000179,2017-07-31,6,"Morton","Trescott","Morton Trescott"
5,4,29,inv-0000000000000000000000000180,2016-08-22,7,"Windell","Minot","Windell Minot"
2,26,50,inv-0000000000000000000000000181,2018-09-04,4,"Kavon","Shearman","Kavon Shearman"
10,30,37,inv-0000000000000000000000000182,2019-05-01,3,"Sawyer","Morehead","Sawyer Morehead"
5,19,7,inv-0000000000000000000000000183,2017-02-08,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
2,2,37,inv-0000000000000000000000000184,2017-04-20,8,"Rylan","Channel","Rylan Channel"
10,20,7,inv-0000000000000000000000000185,2016-03-28,8,"Rylan","Channel","Rylan Channel"
3,5,36,inv-0000000000000000000000000186,2018-07-30,0,"Wilburn","Merriman","Wilburn Merriman"
1,19,45,inv-0000000000000000000000000187,2016-09-07,3,"Sawyer","Morehead","Sawyer Morehead"
8,14,34,inv-0000000000000000000000000188,2017-02-22,6,"Morton","Trescott","Morton Trescott"
2,21,4,inv-0000000000000000000000000189,2016-11-16,0,"Wilburn","Merriman","Wilburn Merriman"
6,8,49,inv-0000000000000000000000000190,2018-10-05,1,"Carter","Romine","Carter Romine"
2,30,13,inv-0000000000000000000000000191,2016-03-30,14,"Rudolph","Falls","Rudolph Falls"
8,9,7,inv-0000000000000000000000000192,2019-05-06,14,"Rudolph","Falls","Rudolph Falls"
3,20,17,inv-0000000000000000000000000193,2019-10-04,12,"Kavon","Burget","Kavon Burget"
1,1,7,inv-0000000000000000000000000194,2018-04-23,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
3,30,40,inv-0000000000000000000000000195,2017-10-27,11,"Sedona","Strauss","Sedona Strauss"
10,22,24,inv-0000000000000000000000000196,2018-10-02,6,"Morton","Trescott","Morton Trescott"
5,7,22,inv-0000000000000000000000000197,2016-02-24,3,"Sawyer","Morehead","Sawyer Morehead"
9,1,16,inv-0000000000000000000000000198,2018-09-06,3,"Sawyer","Morehead","Sawyer Morehead"
10,23,22,inv-0000000000000000000000000199,2016-09-12,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
2,27,18,inv-0000000000000000000000000200,2017-11-20,3,"Sawyer","Morehead","Sawyer Morehead"
8,19,24,inv-0000000000000000000000000201,2019-06-10,1,"Carter","Romine","Carter Romine"
6,13,46,inv-0000000000000000000000000202,2016-03-22,8,"Rylan","Channel","Rylan Channel"
5,7,49,inv-0000000000000000000000000203,2017-10-13,11,"Sedona","Strauss","Sedona Strauss"
8,11,2,inv-0000000000000000000000000204,2019-02-05,5,"Tanner","Weston","Tanner Weston"
7,27,33,inv-0000000000000000000000000205,2019-09-23,2,"Verlin","Toney","Verlin Toney"
4,29,41,inv-0000000000000000000000000206,2018-01-17,7,"Windell","Minot","Windell Minot"
6,20,44,inv-0000000000000000000000000207,2016-03-23,8,"Rylan","Channel","Rylan Channel"
7,19,12,inv-0000000000000000000000000208,2016-01-28,12,"Kavon","Burget","Kavon Burget"
10,2,33,inv-0000000000000000000000000209,2018-12-03,0,"Wilburn","Merriman","Wilburn Merriman"
2,18,5,inv-0000000000000000000000000210,2017-02-21,6,"Morton","Trescott","Morton Trescott"
9,21,16,inv-0000000000000000000000000211,2019-05-27,13,"Iverson","Crossnoe","Iverson Crossnoe"
5,20,46,inv-0000000000000000000000000212,2019-04-08,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
9,26,12,inv-0000000000000000000000000213,2017-11-22,2,"Verlin","Toney","Verlin Toney"
7,14,26,inv-0000000000000000000000000214,2018-04-12,1,"Carter","Romine","Carter Romine"
7,30,1,inv-0000000000000000000000000215,2019-11-21,8,"Rylan","Channel","Rylan Channel"
5,9,5,inv-0000000000000000000000000216,2016-05-11,3,"Sawyer","Morehead","Sawyer Morehead"
4,16,9,inv-0000000000000000000000000217,2019-09-09,0,"Wilburn","Merriman","Wilburn Merriman"
1,11,8,inv-0000000000000000000000000218,2016-01-26,13,"Iverson","Crossnoe","Iverson Crossnoe"
2,19,5,inv-0000000000000000000000000219,2019-05-31,1,"Carter","Romine","Carter Romine"
7,16,31,inv-0000000000000000000000000220,2019-08-08,14,"Rudolph","Falls","Rudolph Falls"
7,26,16,inv-0000000000000000000000000221,2018-10-26,13,"Iverson","Crossnoe","Iverson Crossnoe"
10,22,19,inv-0000000000000000000000000222,2019-03-21,6,"Morton","Trescott","Morton Trescott"
10,19,26,inv-0000000000000000000000000223,2017-11-21,4,"Kavon","Shearman","Kavon Shearman"
5,22,33,inv-0000000000000000000000000224,2016-10-26,7,"Windell","Minot","Windell Minot"
6,4,41,inv-0000000000000000000000000225,2017-06-29,4,"Kavon","Shearman","Kavon Shearman"
3,16,4,inv-0000000000000000000000000226,2019-09-25,0,"Wilburn","Merriman","Wilburn Merriman"
6,4,20,inv-0000000000000000000000000227,2019-07-11,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
9,11,10,inv-0000000000000000000000000228,2018-02-08,12,"Kavon","Burget","Kavon Burget"
4,6,38,inv-0000000000000000000000000229,2018-07-23,12,"Kavon","Burget","Kavon Burget"
8,9,31,inv-0000000000000000000000000230,2016-02-29,11,"Sedona","Strauss","Sedona Strauss"
6,17,33,inv-0000000000000000000000000231,2019-04-25,5,"Tanner","Weston","Tanner Weston"
2,30,40,inv-0000000000000000000000000232,2017-05-23,4,"Kavon","Shearman","Kavon Shearman"
4,8,9,inv-0000000000000000000000000233,2019-11-07,0,"Wilburn","Merriman","Wilburn Merriman"
4,15,35,inv-0000000000000000000000000234,2019-01-28,2,"Verlin","Toney","Verlin Toney"
10,1,35,inv-0000000000000000000000000235,2017-11-24,12,"Kavon","Burget","Kavon Burget"
4,7,30,inv-0000000000000000000000000236,2017-12-27,14,"Rudolph","Falls","Rudolph Falls"
2,22,34,inv-0000000000000000000000000237,2017-02-09,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
7,19,25,inv-0000000000000000000000000238,2019-03-01,5,"Tanner","Weston","Tanner Weston"
5,11,6,inv-0000000000000000000000000239,2019-01-09,11,"Sedona","Strauss","Sedona Strauss"
10,20,30,inv-0000000000000000000000000240,2019-01-28,6,"Morton","Trescott","Morton Trescott"
10,13,21,inv-0000000000000000000000000241,2019-08-27,8,"Rylan","Channel","Rylan Channel"
4,4,18,inv-0000000000000000000000000242,2016-09-20,14,"Rudolph","Falls","Rudolph Falls"
8,4,41,inv-0000000000000000000000000243,2017-08-21,0,"Wilburn","Merriman","Wilburn Merriman"
2,21,31,inv-0000000000000000000000000244,2017-06-07,7,"Windell","Minot","Windell Minot"
9,23,43,inv-0000000000000000000000000245,2018-03-05,12,"Kavon","Burget","Kavon Burget"
5,6,18,inv-0000000000000000000000000246,2018-11-06,0,"Wilburn","Merriman","Wilburn Merriman"
3,15,40,inv-0000000000000000000000000247,2017-03-30,9,"Tabor","West","Tabor West"
1,7,17,inv-0000000000000000000000000248,2016-10-04,14,"Rudolph","Falls","Rudolph Falls"
3,5,8,inv-0000000000000000000000000249,2019-07-05,6,"Morton","Trescott","Morton Trescott"
8,23,46,inv-0000000000000000000000000250,2019-02-11,12,"Kavon","Burget","Kavon Burget"
10,5,16,inv-0000000000000000000000000251,2016-11-30,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
10,11,11,inv-0000000000000000000000000252,2017-05-12,13,"Iverson","Crossnoe","Iverson Crossnoe"
2,26,24,inv-0000000000000000000000000253,2018-05-10,0,"Wilburn","Merriman","Wilburn Merriman"
1,12,27,inv-0000000000000000000000000254,2017-02-24,3,"Sawyer","Morehead","Sawyer Morehead"
1,17,8,inv-0000000000000000000000000255,2017-03-20,9,"Tabor","West","Tabor West"
9,24,41,inv-0000000000000000000000000256,2019-10-11,5,"Tanner","Weston","Tanner Weston"
1,18,9,inv-0000000000000000000000000257,2019-03-13,11,"Sedona","Strauss","Sedona Strauss"
1,5,45,inv-0000000000000000000000000258,2017-03-31,0,"Wilburn","Merriman","Wilburn Merriman"
9,16,13,inv-0000000000000000000000000259,2018-06-28,0,"Wilburn","Merriman","Wilburn Merriman"
4,26,36,inv-0000000000000000000000000260,2018-01-22,4,"Kavon","Shearman","Kavon Shearman"
1,17,36,inv-0000000000000000000000000261,2019-04-25,9,"Tabor","West","Tabor West"
8,19,43,inv-0000000000000000000000000262,2016-08-19,3,"Sawyer","Morehead","Sawyer Morehead"
9,25,9,inv-0000000000000000000000000263,2018-06-20,12,"Kavon","Burget","Kavon Burget"
3,27,22,inv-0000000000000000000000000264,2017-07-25,7,"Windell","Minot","Windell Minot"
1,20,22,inv-0000000000000000000000000265,2019-04-15,3,"Sawyer","Morehead","Sawyer Morehead"
8,24,31,inv-0000000000000000000000000266,2019-12-06,2,"Verlin","Toney","Verlin Toney"
4,17,25,inv-0000000000000000000000000267,2016-11-11,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
9,12,13,inv-0000000000000000000000000268,2017-07-27,6,"Morton","Trescott","Morton Trescott"
3,7,7,inv-0000000000000000000000000269,2016-11-07,13,"Iverson","Crossnoe","Iverson Crossnoe"
10,7,4,inv-0000000000000000000000000270,2017-10-30,8,"Rylan","Channel","Rylan Channel"
7,20,38,inv-0000000000000000000000000271,2017-06-16,0,"Wilburn","Merriman","Wilburn Merriman"
6,3,49,inv-0000000000000000000000000272,2018-12-14,3,"Sawyer","Morehead","Sawyer Morehead"
2,20,30,inv-0000000000000000000000000273,2019-06-27,2,"Verlin","Toney","Verlin Toney"
1,16,16,inv-0000000000000000000000000274,2018-02-06,14,"Rudolph","Falls","Rudolph Falls"
4,17,45,inv-0000000000000000000000000275,2018-12-10,14,"Rudolph","Falls","Rudolph Falls"
1,30,37,inv-0000000000000000000000000276,2016-01-13,14,"Rudolph","Falls","Rudolph Falls"
10,28,35,inv-0000000000000000000000000277,2019-12-02,8,"Rylan","Channel","Rylan Channel"
3,16,22,inv-0000000000000000000000000278,2018-08-13,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
